الرقم العسكري,الاسم الكامل,الرتبة,الفصيل,يوم 1,يوم 2,يوم 3,يوم 4,يوم 5,يوم 6,يوم 7,يوم 8,يوم 9,يوم 10,يوم 11,يوم 12,يوم 13,يوم 14,يوم 15,يوم 16,يوم 17,يوم 18,يوم 19,يوم 20,يوم 21,يوم 22,يوم 23,يوم 24,يوم 25,يوم 26,يوم 27,يوم 28,يوم 29,يوم 30,يوم 31,إجمالي الحضور,ساعات التأخير,ساعات الاستئذان,أيام خصم الإجازة,الغياب بدون إذن
"10232","جمال صالح رمضان الباروني","رئيس عرفاء","فصيل الإنذار والتدخل السريع",غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,حاضر,حاضر,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,2,0,0,0,0
"10041","سالم عبد الله عمر الترهوني","مقدم","فصيل الحراسات والمنشآت",راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,متأخر,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,1,0,0,0,0
"10082","خالد مسعود سعيد الزنتاني","ملازم أول","فصيل الدوريات والاستطلاع",راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,حاضر,حاضر,غير مسجل,حاضر,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,3,0,0,0,0
"10190","عمر مصطفى عبد اللطيف السويحلي","عريف","فصيل الإنذار والتدخل السريع",راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,حاضر,راحة نوبة,حاضر,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,2,0,0,0,0
"10122","عبد الرحمن مفتاح ناجي الطرابلسي","ملازم","فصيل الحراسات والمنشآت",راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,حاضر,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,1,0,0,0,0
"10145","أبوبكر السنوسي مسعود الغرياني","رائد","فصيل الدوريات والاستطلاع",راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,حاضر,حاضر,غير مسجل,حاضر,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,3,0,0,0,0
"10103","صلاح عمر عثمان القذافي","عميد","فصيل الإنذار والتدخل السريع",راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,حاضر,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,1,0,0,0,0
"10255","عادل مفتاح إبراهيم القره مانلي","جندي","فصيل الحراسات والمنشآت",راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,حاضر,حاضر,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,2,0,0,0,0
"10211","طارق المهدي الهادي المنتصر","جندي","فصيل الدوريات والاستطلاع",راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,حاضر,حاضر,غير مسجل,حاضر,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,غير مسجل,غير مسجل,غير مسجل,راحة نوبة,راحة نوبة,غير مسجل,غير مسجل,3,0,0,0,0
"10029","أحمد علي محمد الورفلي","عقيد","فصيل الإنذار والتدخل السريع",راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,حاضر,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,1,0,0,0,0
"10065","محمد الهادي مصطفى بن علي","نقيب","فصيل الحراسات والمنشآت",غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,حاضر,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,راحة نوبة,راحة نوبة,راحة نوبة,راحة نوبة,غير مسجل,1,0,0,0,0
